Date,Open
2016/1/4,2038.199951
2016/1/5,2013.780029
2016/1/6,2011.709961
2016/1/7,1985.319946
2016/1/8,1945.969971
2016/1/11,1926.119995
2016/1/12,1927.829956
2016/1/13,1940.339966
2016/1/14,1891.680054
2016/1/15,1916.680054
2016/1/19,1888.660034
2016/1/20,1876.180054
2016/1/21,1861.459961
2016/1/22,1877.400024
2016/1/25,1906.280029
2016/1/26,1878.790039
2016/1/27,1902.52002
2016/1/28,1885.219971
2016/1/29,1894
2016/2/1,1936.939941
2016/2/2,1935.26001
2016/2/3,1907.069946
2016/2/4,1911.670044
2016/2/5,1913.069946
2016/2/8,1873.25
2016/2/9,1848.459961
2016/2/10,1857.099976
2016/2/11,1847
2016/2/12,1833.400024
2016/2/16,1871.439941
2016/2/17,1898.800049
2016/2/18,1927.569946
2016/2/19,1916.73999
2016/2/22,1924.439941
2016/2/23,1942.380005
2016/2/24,1917.560059
2016/2/25,1931.869995
2016/2/26,1954.949951
2016/2/29,1947.130005
2016/3/1,1937.089966
2016/3/2,1976.599976
2016/3/3,1985.599976
2016/3/4,1994.01001
2016/3/7,1996.109985
2016/3/8,1996.880005
2016/3/9,1981.439941
2016/3/10,1990.969971
2016/3/11,1994.709961
2016/3/14,2019.27002
2016/3/15,2015.27002
2016/3/16,2014.23999
2016/3/17,2026.900024
2016/3/18,2041.160034
2016/3/21,2047.880005
2016/3/22,2048.639893
2016/3/23,2048.550049
2016/3/24,2032.47998
2016/3/28,2037.890015
2016/3/29,2035.75
2016/3/30,2058.27002
2016/3/31,2063.77002
2016/4/1,2056.620117
2016/4/4,2073.189941
2016/4/5,2062.5
2016/4/6,2045.560059
2016/4/7,2063.01001
2016/4/8,2045.540039
2016/4/11,2050.22998
2016/4/12,2043.719971
2016/4/13,2065.919922
2016/4/14,2082.889893
2016/4/15,2083.100098
2016/4/18,2078.830078
2016/4/19,2096.050049
2016/4/20,2101.52002
2016/4/21,2102.090088
2016/4/22,2091.48999
2016/4/25,2089.370117
2016/4/26,2089.840088
2016/4/27,2092.330078
2016/4/28,2090.929932
2016/4/29,2071.820068
2016/5/2,2067.169922
2016/5/3,2077.179932
2016/5/4,2060.300049
2016/5/5,2052.949951
2016/5/6,2047.77002
2016/5/9,2057.550049
2016/5/10,2062.629883
2016/5/11,2083.290039
2016/5/12,2067.169922
2016/5/13,2062.5
2016/5/16,2046.530029
2016/5/17,2065.040039
2016/5/18,2044.380005
2016/5/19,2044.209961
2016/5/20,2041.880005
2016/5/23,2052.22998
2016/5/24,2052.649902
2016/5/25,2078.929932
2016/5/26,2091.439941
2016/5/27,2090.060059
2016/5/31,2100.129883
2016/6/1,2093.939941
2016/6/2,2097.709961
2016/6/3,2104.070068
2016/6/6,2100.830078
2016/6/7,2110.179932
2016/6/8,2112.709961
2016/6/9,2115.649902
2016/6/10,2109.570068
2016/6/13,2091.75
2016/6/14,2076.649902
2016/6/15,2077.600098
2016/6/16,2066.360107
2016/6/17,2078.199951
2016/6/20,2075.580078
2016/6/21,2085.189941
2016/6/22,2089.75
2016/6/23,2092.800049
2016/6/24,2103.810059
2016/6/27,2031.449951
2016/6/28,2006.670044
2016/6/30,2073.169922
2016/7/1,2099.340088
2016/7/5,2095.050049
2016/7/6,2084.429932
2016/7/7,2100.419922
2016/7/8,2106.969971
2016/7/11,2131.719971
2016/7/12,2139.5
2016/7/13,2153.810059
2016/7/14,2157.879883
2016/7/15,2165.129883
2016/7/18,2162.040039
2016/7/19,2163.790039
2016/7/20,2166.100098
2016/7/21,2172.909912
2016/7/22,2166.469971
2016/7/25,2173.709961
2016/7/26,2168.969971
2016/7/27,2169.810059
2016/7/28,2166.050049
2016/7/29,2168.830078
2016/8/1,2173.149902
2016/8/2,2169.939941
2016/8/3,2156.810059
2016/8/4,2163.51001
2016/8/5,2168.790039
2016/8/8,2183.76001
2016/8/9,2182.23999
2016/8/10,2182.810059
2016/8/11,2177.969971
2016/8/12,2183.73999
2016/8/15,2186.080078
2016/8/16,2186.23999
2016/8/17,2177.840088
2016/8/18,2181.899902
2016/8/19,2184.23999
2016/8/22,2181.580078
2016/8/23,2187.810059
2016/8/24,2185.090088
2016/8/25,2173.290039
2016/8/26,2175.100098
2016/8/29,2170.189941
2016/8/30,2179.449951
2016/8/31,2173.560059
2016/9/1,2171.330078
2016/9/2,2177.48999
2016/9/6,2181.610107
2016/9/7,2185.169922
2016/9/8,2182.76001
2016/9/9,2169.080078
2016/9/12,2120.860107
2016/9/13,2150.469971
2016/9/14,2127.860107
2016/9/15,2125.360107
2016/9/16,2146.47998
2016/9/19,2143.98999
2016/9/20,2145.939941
2016/9/21,2144.580078
2016/9/22,2170.939941
2016/9/23,2173.290039
2016/9/26,2158.540039
2016/9/27,2146.040039
2016/9/28,2161.850098
2016/9/29,2168.899902
2016/9/30,2156.51001
2016/10/3,2164.330078
2016/10/4,2163.370117
2016/10/5,2155.149902
2016/10/6,2158.219971
2016/10/7,2164.189941
2016/10/10,2160.389893
2016/10/11,2161.350098
2016/10/12,2137.669922
2016/10/13,2130.26001
2016/10/14,2139.679932
2016/10/17,2132.949951
2016/10/18,2138.310059
2016/10/19,2140.810059
2016/10/20,2142.51001
2016/10/21,2139.429932
2016/10/24,2148.5
2016/10/25,2149.719971
2016/10/26,2136.969971
2016/10/27,2144.060059
2016/10/28,2132.22998
2016/10/31,2129.780029
2016/11/1,2128.679932
2016/11/2,2109.429932
2016/11/3,2098.800049
2016/11/4,2083.790039
2016/11/7,2100.590088
2016/11/8,2129.919922
2016/11/9,2131.560059
2016/11/10,2167.48999
2016/11/11,2162.709961
2016/11/14,2165.639893
2016/11/15,2168.290039
2016/11/16,2177.530029
2016/11/17,2178.610107
2016/11/18,2186.850098
2016/11/21,2186.429932
2016/11/22,2201.560059
2016/11/23,2198.550049
2016/11/25,2206.27002
2016/11/28,2210.209961
2016/11/29,2200.76001
2016/11/30,2204.969971
2016/12/1,2200.169922
2016/12/2,2191.120117
2016/12/5,2200.649902
2016/12/6,2207.26001
2016/12/7,2210.719971
2016/12/8,2241.129883
2016/12/9,2249.72998
2016/12/12,2258.830078
2016/12/13,2263.320068
2016/12/14,2268.350098
2016/12/15,2253.77002
2016/12/16,2266.810059
2016/12/19,2259.23999
2016/12/20,2266.5
2016/12/21,2270.540039
2016/12/22,2262.929932
2016/12/23,2260.25
2016/12/27,2266.22998
2016/12/28,2270.22998
2016/12/29,2249.5
2016/12/30,2251.610107
